epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1612.58,0.64149,0.46049,0.91065,0.95658,0.97188,0.96736,0.77335,0.8262,0.4955,0.96825,0.0004852,0.0004852,0.0004852
106,1629.62,0.64342,0.47235,0.91442,0.94946,0.98104,0.98389,0.76181,0.89285,0.52331,1.02212,0.00048025,0.00048025,0.00048025
107,1646.42,0.65661,0.4739,0.9094,0.92311,0.99384,0.98917,0.75963,0.92405,0.51567,1.04871,0.0004753,0.0004753,0.0004753
108,1663.08,0.63093,0.47593,0.91113,0.91219,0.99318,0.99208,0.75038,0.95362,0.52082,1.08931,0.00047035,0.00047035,0.00047035
109,1679.74,0.64907,0.46416,0.90057,0.96818,0.9712,0.995,0.75268,0.97723,0.51471,1.09212,0.0004654,0.0004654,0.0004654
110,1696.89,0.62809,0.43196,0.89925,0.97949,0.94855,0.99208,0.73961,0.98137,0.51388,1.08888,0.00046045,0.00046045,0.00046045
111,1714.32,0.61865,0.44627,0.90006,0.96578,0.95154,0.99208,0.72404,0.98756,0.53119,1.08174,0.0004555,0.0004555,0.0004555
112,1731.23,0.63553,0.46011,0.91249,0.975,0.95039,0.99208,0.69203,1.10756,0.5329,1.15458,0.00045055,0.00045055,0.00045055
113,1743.35,0.63116,0.4492,0.90273,0.95521,0.98576,0.995,0.70576,1.08248,0.52442,1.11968,0.0004456,0.0004456,0.0004456
114,1759.2,0.6118,0.44149,0.9051,0.95738,0.98626,0.98389,0.68754,1.11714,0.52674,1.17337,0.00044065,0.00044065,0.00044065
115,1776.25,0.6134,0.42901,0.89289,0.95685,0.98379,0.98389,0.7231,1.01641,0.50961,1.10671,0.0004357,0.0004357,0.0004357
116,1793.3,0.6348,0.4504,0.899,0.95111,0.98477,0.995,0.75459,0.97566,0.49427,1.11023,0.00043075,0.00043075,0.00043075
117,1810.38,0.59793,0.43049,0.89903,0.94961,0.9892,0.98944,0.75307,0.9371,0.51086,1.08498,0.0004258,0.0004258,0.0004258
118,1827.42,0.59378,0.42667,0.8853,0.95989,0.9893,0.97833,0.72823,0.98003,0.49084,1.07602,0.00042085,0.00042085,0.00042085
119,1844.37,0.62394,0.44749,0.90295,0.96401,0.98629,0.97833,0.71807,1.01549,0.47512,1.11688,0.0004159,0.0004159,0.0004159
120,1861.56,0.58711,0.42376,0.89108,0.96236,0.98795,0.98389,0.7356,0.94672,0.47006,1.06094,0.00041095,0.00041095,0.00041095
121,1878.69,0.56623,0.41871,0.89185,0.96292,0.98936,0.97833,0.76412,0.91119,0.48278,1.03384,0.000406,0.000406,0.000406
122,1896.02,0.59551,0.43073,0.9015,0.96079,0.98818,0.97833,0.775,0.84713,0.46826,1.01348,0.00040105,0.00040105,0.00040105
123,1913.55,0.56876,0.40496,0.87986,0.96176,0.9855,0.97833,0.77202,0.87306,0.4787,1.00759,0.0003961,0.0003961,0.0003961
124,1930.44,0.60347,0.42506,0.88735,0.96252,0.98359,0.97833,0.77825,0.80302,0.45739,0.97414,0.00039115,0.00039115,0.00039115
125,1943.86,0.63722,0.43412,0.90764,0.96277,0.98284,0.97833,0.78508,0.80082,0.46616,0.97951,0.0003862,0.0003862,0.0003862
126,1954.66,0.59857,0.41821,0.90995,0.96347,0.98364,0.98389,0.76931,0.82965,0.48399,0.98453,0.00038125,0.00038125,0.00038125
127,1967.45,0.59946,0.42645,0.90001,0.96389,0.98374,0.98389,0.76434,0.8631,0.46284,0.99182,0.0003763,0.0003763,0.0003763
128,1979.44,0.58693,0.41228,0.88903,0.96062,0.98455,0.98944,0.79114,0.76591,0.45736,0.96523,0.00037135,0.00037135,0.00037135
129,1990.31,0.59887,0.43106,0.90001,0.9614,0.9854,0.98944,0.76996,0.84793,0.4923,1.01911,0.0003664,0.0003664,0.0003664
130,2003.03,0.59393,0.42641,0.90274,0.96228,0.98589,0.98944,0.80912,0.72884,0.42102,0.95713,0.00036145,0.00036145,0.00036145
131,2013.54,0.57252,0.41108,0.88153,0.95886,0.98865,0.995,0.78391,0.86941,0.44887,1.00332,0.0003565,0.0003565,0.0003565
